STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
NJ,34,0.332323564205228,0.588879636917556,0.0870942143186862,0.643860317433361,-0.535754626526455,-0.0717781289528823,-1.02687663759249,-0.870054600547236,-1.39045778528896,0.376368806933688,-0.939456187764888,-0.374854859009579,-0.136808597344556,0.0692695618251483,-0.98395537185262,-1.06145727917513,-1.18019482466345,-0.826221064086673,1.07631134374415,-1.08647097586463,0.747244114171583,0.903907105590093,0.657356087905604,-1.05500205647421
NM,35,-0.589517760995133,-0.266746065834574,-0.346124750402643,-0.413373235055426,-0.747068140713211,-0.740590113201813,-0.420332863604126,0.275210413126085,0.037778543062503,-0.246540741976599,-0.0273798685504715,-1.07019864061848,1.98030221119079,0.507778492245327,-0.541879937773204,-0.800352307215643,-0.671843408872594,-0.915775766526002,0.791694442872235,2.09598070200304,0.639576476300708,-0.0159405712998237,1.12269783189308,-1.03968367398474
NY,36,1.76852226488227,0.0194547419930796,-0.477608753538489,0.195944866846373,-0.224837363481748,0.461222136393245,-2.00514372834621,-0.674760063682002,-1.57995621651663,1.29800459355858,-0.848687648094833,-0.406873752313387,0.513061174648891,0.21659887613833,-0.887762869681156,-1.04761703222808,-1.22563708508331,-1.42652454565218,1.22997868695358,0.292591417878028,2.34757673161596,2.31871757330088,1.27015767192859,-0.175075374466484
NC,37,0.550496105517519,-0.13671419195854,0.209373366220625,-0.0634164324170931,0.460759964255081,-0.330242285352257,1.07668803644507,0.130676338423347,0.281210133155911,-0.259203361528955,-0.733122882333031,-0.258263900543354,0.752521486695709,-0.151715130977671,-0.508712623584579,-0.439431120958968,-0.194936121169658,-0.107797750115029,0.331773226626063,0.823000030855972,0.546590789048586,-0.76182299048563,-0.118443293163624,-0.641831831374529
ND,38,-0.770855700142911,-0.272046080794345,-0.790788048084212,-0.238150189791652,-0.485901650282922,-0.911965477078407,-0.638787305176361,0.48961128819707,-0.568469637423989,-0.461444290460065,2.6543294100119,1.35915260650927,-1.71432761899129,-0.51006563899032,2.81486379648497,2.55122665049567,1.39679540388582,1.61388560609927,-2.23790136247422,-0.414620066092564,-0.383266083472609,-0.440530112734178,-0.0742166545362947,0.434616496120942
OH,39,0.713662985072909,-0.0741304536664448,0.526260504532765,0.513023345608678,0.617856223419098,0.707257149342959,0.666882107745494,1.18429616031575,0.628328464394278,0.0527310448298306,-0.502767222502942,0.893240425572521,-0.141385874950351,0.407870528922068,0.338809166028595,0.414597555480353,0.660340279402298,0.576492043596358,-0.529457201134221,0.398673140473617,-0.0211113015433001,-0.199271017479891,0.589005472888631,0.169565080661507
OK,40,-0.336803754129345,-0.239374755699864,0.647982229208914,-0.543294206487389,1.20265935028496,2.12791396432026,0.978186287640829,0.86540806753777,1.84516495996158,-1.0817420063782,0.668904874631016,0.656722404823939,1.02537310149195,-0.313305873356833,0.886871267606822,0.87163349680252,1.4613679831553,1.0918082545414,-1.14299780162245,0.398673140473617,0.0718743857088184,-0.535456243015783,-0.199210387664306,0.853764236910518
OR,41,-0.301376770213942,-0.250119991508716,-0.295679277622426,0.473058701601656,-0.58761554284436,-1.19637055049434,0.0188975682424374,-0.389817908613892,-0.159820519394271,0.271700783802694,-0.457054115762093,-1.15038334932966,0.384545356823624,0.502434765512677,-0.850795183762892,-0.784272207310152,-0.763774222308474,-0.417177542892342,0.743399278972961,-0.520701788688152,-0.231552593745465,1.06231580815854,-0.863085968545566,-1.76706083798685
PA,42,0.864857161854498,-0.0729688065519744,0.667126866248053,1.08925404240335,-0.0847348672749657,0.369097591160803,0.152727374656842,0.527902556974345,-0.532953367135876,0.367063628999396,-0.551944164105278,0.311268671637474,-0.352999138732868,1.02249265271516,-0.911888470767132,-0.915188364772506,-0.798106120790611,-0.945070387061147,0.957382052988719,-0.273177769298445,0.238269826054718,0.374375000497866,-0.269360449679718,-0.540097302334837
RI,44,-0.730465438793406,0.460082013100647,0.693141446137394,0.777493338227089,-0.513690028385838,-0.226777054136049,-1.62139216904795,-0.690147553819125,-0.73178117398836,1.2795405920259,-0.780562556118014,0.567317272872629,0.291942741183916,0.498650153837007,-1.10266163511906,-1.25936315293413,-1.40683104127743,-1.15055491623693,1.30665732474733,-0.520701788688152,0.443817134717296,0.174668232319559,0.297826131763917,-0.437807034441856
