STATEAbbrv,STATEFP,PopulationEstimate2019,PopulationDensity2010,NumAdultsChronicCond,MedianAge2010,DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,TotalM_D__s_TotNon_FedandFed2017,x_Hospitals,x_ICU_beds,SVIPercentile,HPSAUnderservedPop,PopulationEstimate65_2017,MaskNever,MaskRare,MaskSome,MaskFreq,MaskAlways,PovertyRate,GiniCoeff,PercPop_StayHome,Avg_DailyTrip,FracPopSpending6+OutHome
MN,27,5639632,66.6,28827.7320222312,37.3632018511618,7.33769813794926,112.29796228208,32.8702969197739,13.8062588910828,47.2847232230517,377.879265881178,2.25191998343154,20.7637661464436,0.277891109836275,2777.48619058832,15252.9278506115,0.0615090926145536,0.0855945666312979,0.125566840176806,0.252709887099016,0.474490721203086,7.4,45.15,24.157188655,288775.510472566,0.059406480120271
MS,28,2976149,63.2,38641.7481114017,35.9926699547636,13.4022922923928,232.381487010008,50.0310188077803,19.2416863288194,70.1818999641725,228.987191165496,3.19204448433193,27.6867858430475,0.737928000522345,28966.6612793916,15507.2545090988,0.0619568210462581,0.0806354530636739,0.120955721302932,0.209303791913644,0.527220817573314,19.1,47.84,18.088466678,277837.322986094,0.07399793952734
MO,29,6137428,87.1,34829.7364954831,37.8725876412645,10.3392684868828,193.019280768053,40.5223523337814,19.1199865057008,63.0266552761696,307.327434228149,1.72710783735467,30.7620716691096,0.40934087923973,20764.5613113506,16408.0621393848,0.08221015138589,0.0834555082356974,0.117129886981974,0.208842664223515,0.508254410316504,11,46.39,24.347587446,287135.583137096,0.076716346303495
MT,30,1068778,6.8,33319.6416842413,39.6804931728647,6.83767693835575,152.823286626722,34.9079547775827,16.6419606350651,65.0144111154518,295.477638948406,5.80101761076669,15.4381920286533,0.25962297513426,25218.6141556057,17826.2464234855,0.131390499243061,0.160026493808817,0.136502104272356,0.210832448834089,0.361375480221337,10.1,45.92,26.010520944,267700.646243021,0.057800540072415
NE,31,1934408,23.8,31891.1522284854,36.2901590136777,8.51743993058507,143.446298751651,33.8630169058938,14.770698448863,64.3105032271307,301.694368509642,4.49750001033908,22.7459770637839,0.336659767486943,673.952961319432,15269.4260983205,0.101361365337612,0.0855613381458306,0.124853075462881,0.262666040463025,0.425561892837499,10.3,44.33,22.919224186,308932.118400215,0.080418875980434
NV,32,3080156,24.6,34043.4380596307,36.4100776036847,9.34816322347277,200.690579068229,35.8945414765133,16.7972440518661,64.5302338326755,231.319452651099,1.16877197128977,29.2192992822441,0.68936012756427,4788.10164160517,14903.7581213419,0.0269863941956187,0.0334199855461866,0.0596335844677997,0.164835426842017,0.715143306377989,12.2,45.68,28.010631284,240346.075475272,0.041919600198825
NH,33,1359711,147,35694.3497552053,41.0477351307597,7.78802572582417,147.799382878054,27.4716967278014,14.0331858528046,55.596810995991,377.286055639765,1.91217104222883,17.7978997007452,0.13746522981176,498.120556500609,17368.1760315243,0.0447526525857333,0.0612226465771035,0.072953670301998,0.18413103446247,0.636698389584257,5.6,43.84,22.704908548,330283.731308083,0.057896658203714
NJ,34,8882190,1195.5,34978.7608686596,38.9707004979503,8.36916942432637,164.652278762353,31.1153978663122,13.4883659433384,39.6781216408562,383.779225618907,0.720543019232869,20.5129590787858,0.444400717964376,0,15971.3201361376,0.0218945574233382,0.0196569574620673,0.0540506431409371,0.158989423892081,0.745327670540711,8.2,48.1,27.1502529,310164.967307358,0.045673178674739
NM,35,2096829,17,33459.3331168159,36.5920203414291,8.02384901795719,145.97634588256,34.6193764233369,16.6504817827304,56.1794033152177,311.422629122356,2.00302456709632,16.2149607812559,0.771029721963683,30878.3882710512,16815.9158424459,0.037132133807764,0.0296019093593231,0.0711651574830375,0.155526609942919,0.706725334302416,17.2,47.88,24.418126419,322637.974432022,0.045852053696664
NY,36,19453561,411.2,32998.1796134908,37.9629311251353,8.87725844094698,179.535799714352,25.4639889226443,14.027580833338,37.4887311818229,490.835585320343,0.848173761091864,20.3150466899094,0.544662978919118,3321.21712831908,16255.0856370204,0.0252101467695298,0.0201841040311334,0.0525207522160082,0.135777473954511,0.76616943514866,12.1,51.37,31.352515124,326590.483870794,0.055948212911853
NC,37,10488084,196.1,35407.6302211157,37.3793915898309,9.99763518888403,157.434915212614,43.2676048911651,16.2514182633765,58.9919163124228,309.951750958516,1.01067077647357,21.2336209359116,0.581607045760534,8406.30185646873,15545.689756108,0.0382753538205834,0.0433486557697288,0.0872210518146117,0.186768716383278,0.644346630232939,13.6,47.69,22.202710584,289370.462338882,0.050497828609173
ND,38,762062,9.7,31899.7666856503,36.9862563924445,8.4506372380693,141.190853295127,33.3573740555233,17.2424499254287,49.1750499094171,286.459631893468,5.7738084302852,31.2310546910881,0.201020227555892,14864.2761350126,14855.4841994483,0.15283329046718,0.157256665468164,0.140809398710341,0.253341090357478,0.295823959205419,10.1,45.79,23.157012912,290555.911926902,0.063067675217601
